Filial;CODPROD;DESCRICAO;DTMOV;QT
1;2347;CHAMBINHO PETIT MRG 64X80G;30/01/2021;80
1;182;CHAMBINHO PETIT MRG 12X480G;04/02/2021;13
1;451;CHAMBINHO CHOCOLATE 16X320G;04/02/2021;13
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;04/02/2021;12
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;04/02/2021;227
1;451;CHAMBINHO CHOCOLATE 16X320G;16/02/2021;251
1;182;CHAMBINHO PETIT MRG 12X480G;17/02/2021;260
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;17/02/2021;100
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;17/02/2021;61
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;17/02/2021;16
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;17/02/2021;25
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;17/02/2021;120
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;17/02/2021;217
1;182;CHAMBINHO PETIT MRG 12X480G;22/02/2021;70
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;22/02/2021;37
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;22/02/2021;61
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;22/02/2021;15
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;22/02/2021;69
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;22/02/2021;93
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;22/02/2021;119
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;26/02/2021;1883
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;26/02/2021;254
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;01/03/2021;49
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;01/03/2021;357
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;04/03/2021;12
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;04/03/2021;9
1;288;NINHO IOGURTE MORANGO 24X170G;04/03/2021;12
1;1941;NESTLE GREGO TRADICIONAL 24X90G;04/03/2021;5
1;451;CHAMBINHO CHOCOLATE 16X320G;04/03/2021;15
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;05/03/2021;5
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;05/03/2021;32
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;05/03/2021;36
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;05/03/2021;54
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;05/03/2021;43
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;05/03/2021;16
1;182;CHAMBINHO PETIT MRG 12X480G;06/03/2021;4
1;183;CHAMBINHO PETIT MOR 16X320G;06/03/2021;5
1;451;CHAMBINHO CHOCOLATE 16X320G;06/03/2021;6
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;06/03/2021;30
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;09/03/2021;3
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;09/03/2021;4
1;453;CHANDELLE CHOCOLATE 18X360G;09/03/2021;5
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;09/03/2021;10
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;09/03/2021;19
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;09/03/2021;12
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;09/03/2021;9
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;10/03/2021;9
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;10/03/2021;6
1;204;NESTLE FLAN CARAMELO 20X200G;10/03/2021;109
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;10/03/2021;35
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;10/03/2021;1879
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;10/03/2021;8
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;10/03/2021;10
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;10/03/2021;48
1;2373;NINHO IOGURTE POLPA 6X720G;10/03/2021;24
1;183;CHAMBINHO PETIT MOR 16X320G;10/03/2021;14
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;10/03/2021;9
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;10/03/2021;24
1;183;CHAMBINHO PETIT MOR 16X320G;11/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;11/03/2021;134
1;180;NINHO IOGURTE POLPA 6X540G;11/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;11/03/2021;16
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;11/03/2021;1
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;11/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;11/03/2021;9
1;453;CHANDELLE CHOCOLATE 18X360G;11/03/2021;12
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;11/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;11/03/2021;3
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;11/03/2021;2
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;11/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;11/03/2021;1
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;11/03/2021;1
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;11/03/2021;6
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;11/03/2021;14
1;1511;NESTLE IOGURTE MORANGO 12X900G;11/03/2021;4
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;11/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;11/03/2021;2
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;11/03/2021;8
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;11/03/2021;1
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;11/03/2021;5
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;11/03/2021;3
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;12/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;12/03/2021;4
1;453;CHANDELLE CHOCOLATE 18X360G;12/03/2021;9
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;12/03/2021;3
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;12/03/2021;8
1;254;NINHO FRUTI MORANGO 8X250G;12/03/2021;8
1;288;NINHO IOGURTE MORANGO 24X170G;12/03/2021;1
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;12/03/2021;3
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;3
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;12/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;12/03/2021;2
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;12/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;12/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;12/03/2021;1
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;12/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;12/03/2021;3
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;1
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;12/03/2021;1
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;12/03/2021;3
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;12/03/2021;4
1;180;NINHO IOGURTE POLPA 6X540G;12/03/2021;33
1;183;CHAMBINHO PETIT MOR 16X320G;12/03/2021;1
1;204;NESTLE FLAN CARAMELO 20X200G;12/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;12/03/2021;7
1;288;NINHO IOGURTE MORANGO 24X170G;12/03/2021;7
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;12/03/2021;1
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;12/03/2021;1
1;453;CHANDELLE CHOCOLATE 18X360G;12/03/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;12/03/2021;6
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;3
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;12/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;12/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;12/03/2021;1
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;12/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;13/03/2021;2
1;453;CHANDELLE CHOCOLATE 18X360G;13/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;13/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;13/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;13/03/2021;4
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;13/03/2021;2
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;13/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;13/03/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;13/03/2021;1
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;13/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;13/03/2021;1
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;13/03/2021;3
1;180;NINHO IOGURTE POLPA 6X540G;13/03/2021;14
1;183;CHAMBINHO PETIT MOR 16X320G;13/03/2021;1
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;13/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;13/03/2021;2
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;13/03/2021;1
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;13/03/2021;3
1;204;NESTLE FLAN CARAMELO 20X200G;13/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;13/03/2021;3
1;288;NINHO IOGURTE MORANGO 24X170G;13/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;13/03/2021;6
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;13/03/2021;1
1;450;CHANDELLE CHOCOLATE 24X180G;13/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;13/03/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;13/03/2021;1
1;1697;CHANDELLE CHOCOLATE 6X720G;13/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;13/03/2021;1
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;13/03/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;13/03/2021;2
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;13/03/2021;1
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;13/03/2021;1
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;13/03/2021;3
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;15/03/2021;5
1;204;NESTLE FLAN CARAMELO 20X200G;15/03/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;15/03/2021;5
1;1511;NESTLE IOGURTE MORANGO 12X900G;15/03/2021;6
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;15/03/2021;5
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;15/03/2021;9
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;15/03/2021;7
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;23
1;1698;CHAMYTO LEITE FERM 21X6X120G;15/03/2021;26
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;15/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;22
1;180;NINHO IOGURTE POLPA 6X540G;15/03/2021;34
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;15/03/2021;28
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;89
1;1697;CHANDELLE CHOCOLATE 6X720G;15/03/2021;9
1;1698;CHAMYTO LEITE FERM 21X6X120G;15/03/2021;14
1;182;CHAMBINHO PETIT MRG 12X480G;15/03/2021;46
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;113
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;15/03/2021;227
1;183;CHAMBINHO PETIT MOR 16X320G;15/03/2021;2
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;15/03/2021;2
1;288;NINHO IOGURTE MORANGO 24X170G;15/03/2021;4
1;451;CHAMBINHO CHOCOLATE 16X320G;15/03/2021;1
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;15/03/2021;11
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;7
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;15/03/2021;33
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;15/03/2021;6
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;15/03/2021;19
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;15/03/2021;9
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;15/03/2021;9
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;16/03/2021;23
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;16/03/2021;3
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;16/03/2021;2
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;16/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;16/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;3
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;16/03/2021;1
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;16/03/2021;3
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;16/03/2021;4
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;16/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;16/03/2021;1
1;288;NINHO IOGURTE MORANGO 24X170G;16/03/2021;2
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;16/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;9
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;16/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;16/03/2021;4
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;6
1;183;CHAMBINHO PETIT MOR 16X320G;16/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;16/03/2021;8
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;6
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;16/03/2021;7
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;16/03/2021;8
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;16/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16/03/2021;14
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;16/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;16/03/2021;27
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;18/03/2021;6
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;18/03/2021;5
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;18/03/2021;5
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;18/03/2021;11
1;1697;CHANDELLE CHOCOLATE 6X720G;18/03/2021;7
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;18/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;18/03/2021;3
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;18/03/2021;5
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;18/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;18/03/2021;6
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;18/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;18/03/2021;5
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;18/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;20/03/2021;1513
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;23/03/2021;2
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;3
1;182;CHAMBINHO PETIT MRG 12X480G;23/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;23/03/2021;17
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;23/03/2021;2
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;23/03/2021;1
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;23/03/2021;4
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;23/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;23/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;23/03/2021;6
1;288;NINHO IOGURTE MORANGO 24X170G;23/03/2021;8
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;23/03/2021;4
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;23/03/2021;1
1;450;CHANDELLE CHOCOLATE 24X180G;23/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;23/03/2021;2
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;23/03/2021;4
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;23/03/2021;2
1;1509;NESTLE IOGURTE MORANGO 24X170G;23/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;23/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;23/03/2021;2
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;23/03/2021;17
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;23/03/2021;2
1;1941;NESTLE GREGO TRADICIONAL 24X90G;23/03/2021;2
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;23/03/2021;1
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;23/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;23/03/2021;33
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;23/03/2021;6
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;23/03/2021;1
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;23/03/2021;8
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;23/03/2021;1
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;23/03/2021;2
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;23/03/2021;11
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;23/03/2021;3
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;23/03/2021;1
1;288;NINHO IOGURTE MORANGO 24X170G;23/03/2021;20
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;23/03/2021;3
1;451;CHAMBINHO CHOCOLATE 16X320G;23/03/2021;8
1;453;CHANDELLE CHOCOLATE 18X360G;23/03/2021;1
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;23/03/2021;6
1;1697;CHANDELLE CHOCOLATE 6X720G;23/03/2021;2
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;23/03/2021;4
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;23/03/2021;1
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;23/03/2021;5
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;23/03/2021;1
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;23/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;23/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;23/03/2021;3
1;450;CHANDELLE CHOCOLATE 24X180G;23/03/2021;2
1;453;CHANDELLE CHOCOLATE 18X360G;23/03/2021;10
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;23/03/2021;1
