Filial;CODPROD;DESCRICAO;DTMOV;QT
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;23/03/2021;2
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;23/03/2021;2
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;23/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;1
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;23/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;23/03/2021;19
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;23/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;23/03/2021;3
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;25/03/2021;7
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;25/03/2021;8
1;204;NESTLE FLAN CARAMELO 20X200G;25/03/2021;1
1;453;CHANDELLE CHOCOLATE 18X360G;25/03/2021;19
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;25/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;25/03/2021;6
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;25/03/2021;2
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;25/03/2021;11
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;25/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;25/03/2021;3
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;25/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;25/03/2021;16
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;25/03/2021;50
1;182;CHAMBINHO PETIT MRG 12X480G;29/03/2021;6
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;29/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;29/03/2021;4
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;29/03/2021;8
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;3
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;29/03/2021;7
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;29/03/2021;15
1;2373;NINHO IOGURTE POLPA 6X720G;29/03/2021;1
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;29/03/2021;8
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;15
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;29/03/2021;8
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;29/03/2021;1
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;7
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;29/03/2021;4
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;70
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;29/03/2021;6
1;450;CHANDELLE CHOCOLATE 24X180G;29/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;15
1;453;CHANDELLE CHOCOLATE 18X360G;29/03/2021;13
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;4
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;29/03/2021;3
1;1509;NESTLE IOGURTE MORANGO 24X170G;29/03/2021;8
1;1511;NESTLE IOGURTE MORANGO 12X900G;29/03/2021;6
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;29/03/2021;9
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;29/03/2021;13
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;404
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;1854
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;29/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;29/03/2021;5
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;3
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;2
1;254;NINHO FRUTI MORANGO 8X250G;29/03/2021;3
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;2
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;57
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;29/03/2021;1
1;2373;NINHO IOGURTE POLPA 6X720G;29/03/2021;2
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;29/03/2021;9
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;29/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;6
1;204;NESTLE FLAN CARAMELO 20X200G;29/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;2
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;2
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;29/03/2021;1
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;8
1;1941;NESTLE GREGO TRADICIONAL 24X90G;29/03/2021;10
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;29/03/2021;1
1;182;CHAMBINHO PETIT MRG 12X480G;29/03/2021;11
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;29/03/2021;3
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;29/03/2021;2
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;2
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;29/03/2021;14
1;288;NINHO IOGURTE MORANGO 24X170G;29/03/2021;10
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;42
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;29/03/2021;6
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;2
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;29/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;6
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;29/03/2021;2
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;2
1;1518;NESTLE BEB LACTEA POLPA 2 SABORES 6X540G;29/03/2021;25
1;1697;CHANDELLE CHOCOLATE 6X720G;29/03/2021;2
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;208
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;29/03/2021;3
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;29/03/2021;2
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;29/03/2021;2
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;29/03/2021;3
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;29/03/2021;2
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;2
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;29/03/2021;5
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;18
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;2
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;7
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;29/03/2021;1
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;2
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;29/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;1
1;1511;NESTLE IOGURTE MORANGO 12X900G;29/03/2021;2
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;29/03/2021;5
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;29/03/2021;6
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;29/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;1
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;29/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;2
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;29/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;16
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;29/03/2021;6
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;51
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;29/03/2021;2
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;29/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;29/03/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;4
1;450;CHANDELLE CHOCOLATE 24X180G;29/03/2021;3
1;254;NINHO FRUTI MORANGO 8X250G;29/03/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;7
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;53
1;180;NINHO IOGURTE POLPA 6X540G;29/03/2021;13
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;7
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;16
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;29/03/2021;3
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;7
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;29/03/2021;10
1;1509;NESTLE IOGURTE MORANGO 24X170G;29/03/2021;3
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;29/03/2021;2
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;29/03/2021;14
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;26
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;29/03/2021;3
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;29/03/2021;6
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;29/03/2021;1
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;29/03/2021;3
1;2373;NINHO IOGURTE POLPA 6X720G;29/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;30/03/2021;2
1;183;CHAMBINHO PETIT MOR 16X320G;30/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;30/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;30/03/2021;60
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;30/03/2021;11
1;2373;NINHO IOGURTE POLPA 6X720G;30/03/2021;5
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;30/03/2021;10
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;30/03/2021;23
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;30/03/2021;12
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;30/03/2021;8
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;30/03/2021;17
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;30/03/2021;24
1;180;NINHO IOGURTE POLPA 6X540G;31/03/2021;2
1;182;CHAMBINHO PETIT MRG 12X480G;31/03/2021;1
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;31/03/2021;6
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;31/03/2021;1
1;204;NESTLE FLAN CARAMELO 20X200G;31/03/2021;4
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;31/03/2021;3
1;288;NINHO IOGURTE MORANGO 24X170G;31/03/2021;9
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;31/03/2021;1
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;31/03/2021;7
1;450;CHANDELLE CHOCOLATE 24X180G;31/03/2021;2
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;31/03/2021;4
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;31/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;31/03/2021;4
1;1511;NESTLE IOGURTE MORANGO 12X900G;31/03/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;31/03/2021;23
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;31/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;31/03/2021;105
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;31/03/2021;5
1;1941;NESTLE GREGO TRADICIONAL 24X90G;31/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;31/03/2021;9
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;31/03/2021;7
1;2455;MOLICO IOGURTE LIQ BAUN 24X170G;31/03/2021;1
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;31/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;31/03/2021;1
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;31/03/2021;3
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;31/03/2021;1
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;31/03/2021;2
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;31/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;31/03/2021;1
1;453;CHANDELLE CHOCOLATE 18X360G;31/03/2021;5
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;31/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;31/03/2021;3
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;31/03/2021;2
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;31/03/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;31/03/2021;3
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;31/03/2021;3
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;31/03/2021;1
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;31/03/2021;17
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;01/04/2021;1
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;01/04/2021;5
1;183;CHAMBINHO PETIT MOR 16X320G;01/04/2021;3
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;01/04/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;01/04/2021;4
1;204;NESTLE FLAN CARAMELO 20X200G;01/04/2021;10
1;288;NINHO IOGURTE MORANGO 24X170G;01/04/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;01/04/2021;18
1;451;CHAMBINHO CHOCOLATE 16X320G;01/04/2021;14
1;453;CHANDELLE CHOCOLATE 18X360G;01/04/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;01/04/2021;8
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;01/04/2021;10
1;1698;CHAMYTO LEITE FERM 21X6X120G;01/04/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;3
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;01/04/2021;142
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;01/04/2021;5
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;01/04/2021;1
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;01/04/2021;5
1;2373;NINHO IOGURTE POLPA 6X720G;01/04/2021;4
1;183;CHAMBINHO PETIT MOR 16X320G;01/04/2021;8
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;2
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;01/04/2021;8
1;1941;NESTLE GREGO TRADICIONAL 24X90G;01/04/2021;7
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;01/04/2021;5
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;01/04/2021;2
1;180;NINHO IOGURTE POLPA 6X540G;01/04/2021;1
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;01/04/2021;2
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;01/04/2021;23
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;01/04/2021;12
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;01/04/2021;4
1;288;NINHO IOGURTE MORANGO 24X170G;01/04/2021;15
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;01/04/2021;70
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;01/04/2021;6
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;01/04/2021;12
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;01/04/2021;2
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;123
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;01/04/2021;70
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;01/04/2021;4
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;01/04/2021;5
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;01/04/2021;7
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;01/04/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;01/04/2021;26
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;01/04/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;01/04/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;12
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;01/04/2021;8
1;180;NINHO IOGURTE POLPA 6X540G;01/04/2021;5
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;01/04/2021;1
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;01/04/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;01/04/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;01/04/2021;4
1;1511;NESTLE IOGURTE MORANGO 12X900G;01/04/2021;1
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;01/04/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;01/04/2021;2
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;01/04/2021;1
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;01/04/2021;9
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;01/04/2021;4
1;180;NINHO IOGURTE POLPA 6X540G;01/04/2021;1
1;183;CHAMBINHO PETIT MOR 16X320G;01/04/2021;1
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;01/04/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;01/04/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;01/04/2021;5
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;01/04/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;01/04/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;01/04/2021;4
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;01/04/2021;20
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;01/04/2021;3
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;01/04/2021;3
1;204;NESTLE FLAN CARAMELO 20X200G;01/04/2021;1
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;01/04/2021;1
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;01/04/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;01/04/2021;8
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;01/04/2021;1
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;01/04/2021;3
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;01/04/2021;2
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;01/04/2021;3
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;01/04/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;01/04/2021;4
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;01/04/2021;5
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;01/04/2021;18
