DTMOV,CODPROD,DESCRICAO,CODFILIAL,FORN_ENT,FORNECEDOR
03/12/2020 00:00,2099,MOLICO IOGURTE LIQ MRG 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,167,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,176,NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,182,CHAMBINHO PETIT MRG 12X480G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,198,NESTLE NATURAL CENOURA+LARANJA 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,199,IOGURTE NESTLE NATURAL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,200,NESTLE IOG NATURAL DESNATADO 28X160G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,201,IOGURTE NESTLE NATURAL MEL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,206,NESTLE GREGO IOG LIGHT 3 SAB 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,212,NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,213,REQUEIJAO CREMOSO NESTLE 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,249,NESTLE GREGO LIGHT MARACUJA 12X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,254,NINHO FRUTI MORANGO 8X250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,450,CHANDELLE CHOCOLATE 24X180G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,453,CHANDELLE CHOCOLATE 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,759,CHAMYTO LEITE FERMENTADO 21X6X75G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1506,NESTLE IOG VIT DE FRUTA 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1510,NESTLE IOGURTE MORANGO 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1511,NESTLE IOGURTE MORANGO 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1519,NESTLE GREGO IOG TRAD + MRG 6X600G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1520,CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1693,NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1697,CHANDELLE CHOCOLATE 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1698,CHAMYTO LEITE FERM 21X6X120G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1939,NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1941,NESTLE GREGO TRADICIONAL 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,1963,NESTLE GREGO TORTA LIMAO 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2037,NESFIT IOGURTE FRUTAS VERM 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2038,NESFIT IOGURTE MORANGO BAUN 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2039,NESFIT IOGURTE MARACUJA AVEIA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2099,MOLICO IOGURTE LIQ MRG 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2100,MOLICO IOGURTE LIQ MRG 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,2373,NINHO IOGURTE POLPA 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,167,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,176,NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,182,CHAMBINHO PETIT MRG 12X480G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,194,NESTLE GREGO IOG FRUTAS VERM 12X400G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,195,IOGURTE GREGO NESTLE TRADICIONAL 12X400G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,198,NESTLE NATURAL CENOURA+LARANJA 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,199,IOGURTE NESTLE NATURAL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,200,NESTLE IOG NATURAL DESNATADO 28X160G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,201,IOGURTE NESTLE NATURAL MEL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,206,NESTLE GREGO IOG LIGHT 3 SAB 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,212,NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,213,REQUEIJAO CREMOSO NESTLE 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,254,NINHO FRUTI MORANGO 8X250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,449,CHANDELLE CHANTILLY CARAMELO 24X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,450,CHANDELLE CHOCOLATE 24X180G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,453,CHANDELLE CHOCOLATE 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,759,CHAMYTO LEITE FERMENTADO 21X6X75G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1506,NESTLE IOG VIT DE FRUTA 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1508,NESTLE GREGO IOG LT MORANGO 12X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1510,NESTLE IOGURTE MORANGO 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1511,NESTLE IOGURTE MORANGO 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1519,NESTLE GREGO IOG TRAD + MRG 6X600G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1520,CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1693,NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1697,CHANDELLE CHOCOLATE 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1887,CHANDELLE CHOCOLATE BRANCO 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1939,NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1940,NESTLE GREGO TORTA MARACUJA 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1941,NESTLE GREGO TRADICIONAL 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1958,NESTLE GREGO TORTA MORANGO 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,1963,NESTLE GREGO TORTA LIMAO 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2037,NESFIT IOGURTE FRUTAS VERM 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2038,NESFIT IOGURTE MORANGO BAUN 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2039,NESFIT IOGURTE MARACUJA AVEIA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2042,NESFIT IOGURTE MORANGO BAUN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2099,MOLICO IOGURTE LIQ MRG 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
18/12/2020 00:00,2373,NINHO IOGURTE POLPA 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,167,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,176,NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,182,CHAMBINHO PETIT MRG 12X480G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,192,NESTLE BICAM IOGURTE MORANGO 28X150G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,194,NESTLE GREGO IOG FRUTAS VERM 12X400G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,195,IOGURTE GREGO NESTLE TRADICIONAL 12X400G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,198,NESTLE NATURAL CENOURA+LARANJA 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,199,IOGURTE NESTLE NATURAL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,200,NESTLE IOG NATURAL DESNATADO 28X160G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,201,IOGURTE NESTLE NATURAL MEL 28X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,204,NESTLE FLAN CARAMELO 20X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,206,NESTLE GREGO IOG LIGHT 3 SAB 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,212,NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,213,REQUEIJAO CREMOSO NESTLE 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,249,NESTLE GREGO LIGHT MARACUJA 12X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,254,NINHO FRUTI MORANGO 8X250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,449,CHANDELLE CHANTILLY CARAMELO 24X200G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,450,CHANDELLE CHOCOLATE 24X180G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,453,CHANDELLE CHOCOLATE 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,759,CHAMYTO LEITE FERMENTADO 21X6X75G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1506,NESTLE IOG VIT DE FRUTA 12X900G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1508,NESTLE GREGO IOG LT MORANGO 12X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1510,NESTLE IOGURTE MORANGO 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1512,NESTLE IOGURTE VIT DE FRUTA 12X1.250G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1519,NESTLE GREGO IOG TRAD + MRG 6X600G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1520,CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1693,NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1697,CHANDELLE CHOCOLATE 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1698,CHAMYTO LEITE FERM 21X6X120G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
28/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
