DESCRICAO,CODFILIAL,FILIAL,CODPROD,CODFORNEC,FORNECEDOR,EMBALAGEM,QTESTGER,QTINDENIZ,CUSTOULTENT,QTRESERV,QTPENDENTE,ESTOQUE_D
NESTLE GREGO LIGHT MARACUJA 12X360G,1,ATACADO,249,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,2,0,4.484274,0,0,2
NINHO FRUTI MORANGO 8X250G,1,ATACADO,254,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,250G,0,0,2.890369,0,0,0
CHANDELLE SENSACAO 20X220G,1,ATACADO,255,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,20X220G,,0,1.9965,0,0,0
BEB LACTEA NESTLE MORANGO 10X900G,1,ATACADO,169,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,10X900G,0,0,5.017746,0,0,0
BEB LACTEA NESTLE POLPA 3 SABORES 6X540G,1,ATACADO,171,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,6X540G,0,0,2.585175,0,0,0
BEB LACTEA NINHO SOLEIL MORANGO 48X180G,1,ATACADO,178,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,180G,0,0,1.530417,0,0,0
IOGURTE NINHO SOLEIL MORANGO 10X900G,1,ATACADO,179,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,10X900G,0,0,5.717228,0,0,0
CHAMBINHO PETIT MRG 12X480G,1,ATACADO,182,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,480G,1,0,4.672871,0,1,0
CHAMBINHO PETIT MOR 16X320G,1,ATACADO,183,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,320G,0,0,4.096133,0,0,0
NINHO SOLEIL PETIT MOR 28X360G,1,ATACADO,184,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,28X360G,0,0,2.013296,0,0,0
CHAMYTO NECTAR 27X200ML LARANJA,1,ATACADO,185,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,27X200ML,0,0,0.862207,0,0,0
CHANDELLE CHOCOLATE BRANCO 20X220G,1,ATACADO,189,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,20X220G,0,0,2.272754,0,0,0
CHANDELLE CREME+BISC NEGRESCO 24X111G,1,ATACADO,190,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X111G,0,0,1.539167,0,0,0
CHANDELLE TORTA LIMAO 20X180G,1,ATACADO,191,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,20X180G,0,0,1.9965,0,0,0
IOGURTE NESCAU COM CEREAL 24X106G,1,ATACADO,197,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X106G,0,0,1.92725,0,0,0
NESTLE GREGO IOG LIGHT 3 SAB 6X540G,1,ATACADO,206,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,24,0,5.61919,0,0,24
IOGURTE NESTLE GREGO+CORN FLAKES 24X105G,1,ATACADO,209,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X105G,,0,1.689583,0,0,0
CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,ATACADO,167,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,130G,0,0,2.035873,0,0,0
BEB LACTEA NESTON POLPA 6X600G,1,ATACADO,175,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,6X600G,0,0,4.7021,0,0,0
IOGURTE GREGO NESTLE TRADICIONAL 24X110G,1,ATACADO,196,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X110G,0,0,1.399125,0,0,0
IOGURTE NESTLE GREGO+PED MORANGO 24X130G,1,ATACADO,211,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X130G,0,0,1.773375,0,0,0
BEB LACTEA NINHO SOLEIL MACA+BNA 48X180G,1,ATACADO,177,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,180G,0,0,1.530417,0,0,0
CHAMBINHO PETIT CHOC 20X480G,1,ATACADO,181,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,20X480G,0,0,3.8178,0,0,0
CHAMYTO NECTAR 27X200ML MACA,1,ATACADO,186,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,27X200ML,0,0,0.862207,0,0,0
NESTON IOGURTE LIQ MACA BNA 12X850G,1,ATACADO,174,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,4.955138,0,0,0
NESTLE FLAN MORANGO 20X220G,1,ATACADO,205,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,220G,0,0,1.53695,0,0,0
IOGURTE NESTLE GREGO+PED ABACAXI 24X130G,1,ATACADO,210,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X130G,,0,1.69,0,0,0
IOGURTE NESTLE NATURAL MEL 28X170G,1,ATACADO,201,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.498636,0,0,0
LEITE FERM MOLICO VIT FRUTAS 48X170G,1,ATACADO,253,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X170G,0,0,1.466862,0,0,0
NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,ATACADO,176,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,6.268453,0,0,0
CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,ATACADO,168,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,130G,0,0,2.035887,0,0,0
BEB LACTEA NESTLE MORANGO 48X180G,1,ATACADO,170,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X180G,0,0,1.065934,0,0,0
NESTLE IOG NATURAL DESNATADO 28X160G,1,ATACADO,200,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,160G,0,0,1.498618,0,0,0
IOGURTE GREGO LIQ NESTLE FR VERM 48X170G,1,ATACADO,207,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X170G,0,0,1.348354,0,0,0
IOGURTE GREGO LIQ NESTLE TRADIC 48X170G,1,ATACADO,208,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X170G,0,0,1.240296,0,0,0
IOGURTE GREGO NESTLE SEM ACUCAR 24X110G,1,ATACADO,252,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X110G,0,0,1.3991,0,0,0
MOLICO LEIFERMENTADO LIQ MRG 24X170G,1,ATACADO,203,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.4215,0,0,0
LEITE FERM MOLICO FRUT VERM 12X400G,1,ATACADO,279,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X400G,0,0,3.935694,0,0,0
PALLET 1.00X1.20 MTS,1,ATACADO,295,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,1 UN,0,0,25.2,0,0,0
CHANDELLE CHOCOLATE 20X220G,1,ATACADO,188,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,20X220G,0,0,1.948212,0,0,0
NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,1,ATACADO,212,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,320G,0,0,4.043216,0,0,0
CHAMYTO NECTAR 27X200ML UVA,1,ATACADO,187,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,27X200ML,0,0,0.862207,0,0,0
CHAMBINHO PETIT MRG 38X80G,1,ATACADO,247,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,38X80G,0,0,0.756809,0,0,0
NESTLE BEB LACTEA POLPA MORANGO 6X540G,1,ATACADO,172,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,0,0,1.972959,0,0,0
IOGURTE NESTLE NATURAL 28X170G,1,ATACADO,199,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.498636,0,0,0
IOGURTE GREGO NESTLE PESSEGO 12X400G,1,ATACADO,251,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X400G,0,0,4.028195,0,0,0
NESTLE GREGO IOG FRUTAS VERM 12X400G,1,ATACADO,194,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,400G,0,0,4.484274,0,0,0
NINHO IOGURTE POLPA 6X540G,1,ATACADO,180,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,6921,0,3.31828,21,6,6894
IOGURTE NESTLE GREGO LIGHT MEL 48X170G,1,ATACADO,296,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X170G,0,0,1.333611,0,0,0
CHANDELLE BOMBOM GALAK 32X160G,1,ATACADO,297,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,CX 32X160G,0,0,2.190651,0,0,0
CHANDELLE BOMBOM CLASIC 32X160G,1,ATACADO,298,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,160G,0,0,2.190651,0,0,0
IOGURTE NESTLE GREGO LIGHT MAR 48X170G,1,ATACADO,299,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,CX 48X170G,0,0,1.333611,0,0,0
NINHO IOGURTE LIQ MACA E BANANA 24X170G,1,ATACADO,287,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,379,0,1.637684,0,0,379
NESTLE FLAN CARAMELO 20X200G,1,ATACADO,204,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,200G,1,0,2.070993,0,0,1
REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,1,ATACADO,214,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,PT 200G,0,0,4.064066,0,0,0
NINHO IOGURTE MORANGO 24X170G,1,ATACADO,288,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,1123,0,1.637684,0,0,1123
NESTON IOGURTE POLPA 2 SABORES 6X540G,1,ATACADO,333,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,6314,0,2.959762,0,0,6314
IOGURTE GREGO NESTLE ABACAXI 12X400G,1,ATACADO,250,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X400G,0,0,3.620388,0,0,0
NESTLE BICAM IOGURTE MORANGO 28X150G,1,ATACADO,192,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,150G,0,0,1.801949,0,0,0
NESTLE GREGO TORTA DE MORANGO 48X90G,1,ATACADO,403,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.166828,0,0,0
LEITE FERM CHAMYTO CITRUS 20X6X75G,1,ATACADO,404,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,PC 6X75G,0,0,0.620107,0,0,0
LEITE FERM NINHO 20X6X75G,1,ATACADO,405,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,PC 6X75G,0,0,3.12651,0,0,0
CHANDELLE CHANTILLY CAFE 24X200G,1,ATACADO,454,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X200G,0,0,3.049127,0,0,0
CHANDELLE CHANTILLY CHOCOLATE 24X200G,1,ATACADO,448,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,200G,0,0,3.029515,0,0,0
CHANDELLE CHANTILLY CARAMELO 24X200G,1,ATACADO,449,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,24X200G,134,0,3.029537,0,1,133
CHANDELLE CHOCOLATE 24X180G,1,ATACADO,450,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,180G,0,0,2.64202,0,0,0
CHANDELLE CHOCOLATE 18X360G,1,ATACADO,453,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,0,0,4.198462,0,0,0
CHAMBINHO PETIT ALGOD DOCE E TRF 16X320G,1,ATACADO,452,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,16X320G,0,0,3.545846,0,0,0
NESTLE GREGO TORTA DE LIMAO 48X90G,1,ATACADO,505,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.166828,0,0,0
IOGURTE GREGO NESTLE DINIEPER 6X600G,1,ATACADO,193,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,6X600G,0,0,4.991272,0,0,0
CHANDELLE CHOCOLATE BRANCO 24X180G,1,ATACADO,705,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,180G,0,0,2.602285,0,0,0
IOGURTE GREGO NESTLE TORTA MACA 48X90G,1,ATACADO,506,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X90G,0,0,1.049321,0,0,0
CHAMBINHO CHOCOLATE 16X320G,1,ATACADO,451,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,320G,0,0,3.582804,0,0,0
CHAMYTO LEITE FERMENTADO 21X6X75G,1,ATACADO,759,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,PC 6X75G,0,0,3.278672,0,0,0
IOGURTE NESTLE GREGO BLUEBERRY 12X360G,1,ATACADO,828,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X360G,0,0,3.620388,0,0,0
IOGURTE NINHO POLPA S/LACTOSE MRG 12X360,1,ATACADO,843,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X360G,0,0,2.84591,0,0,0
NINHO IOGURTE FRUTI UVA 8X250G,1,ATACADO,844,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,250G,0,0,2.565831,0,0,0
IOGURTE GREGO NESTLE LIGHT TRADIC 48X90G,1,ATACADO,807,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X90G,0,0,1.051955,0,0,0
NESTLE GREGO IOG LT TORTA MARJ 48X90G,1,ATACADO,808,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.167046,0,0,0
NESTLE GREGO IOG LIGHT T FRT VERM 48X90G,1,ATACADO,809,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.255058,0,0,0
NESTLE GREGO TRADICIONAL 48X90G,1,ATACADO,810,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.166828,0,0,0
IOGURTE GREGO NESTLE TORTA BANANA 48X90G,1,ATACADO,811,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,48X90G,0,0,1.051943,0,0,0
NESTLE NATURAL CENOURA+LARANJA 28X170G,1,ATACADO,198,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.498636,0,0,0
NESTLE IOG LIQ MORANGO 0 LACTOSE 24X170G,1,ATACADO,842,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.195013,0,0,0
NINHO SOLEIL PETIT LEITE 28X320G,1,ATACADO,805,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,28X320G,0,0,3.636578,0,0,0
IOGURTE NESTLE GREGO LIGHT LIMAO 12X360G,1,ATACADO,806,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X360G,0,0,3.36674,0,0,0
NESTON IOGURTE LIQ MACA E BAN 24X170G,1,ATACADO,1517,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,485,0,1.243381,0,0,485
NESTLE BEB LACTEA POLPA 2 SABORES 6X540G,1,ATACADO,1518,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,0,0,1.972959,0,0,0
NESTLE GREGO IOG TRAD + MRG 6X600G,1,ATACADO,1519,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,600G,0,0,5.61919,0,0,0
NESTLE IOGURTE MORANGO 24X170G,1,ATACADO,1509,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,782,0,1.334825,24,0,758
NESTLE IOGURTE MORANGO Z LACTOZE 12X360G,1,ATACADO,1504,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,0,0,3.365539,0,0,0
NESTLE IOGURTE MORANGO 12X900G,1,ATACADO,1511,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,900G,476,0,5.472963,12,2,462
NESTLE IOG VIT DE FRUTA 12X900G,1,ATACADO,1506,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,900G,88,0,5.470752,0,2,86
NINHO PETIT MRG E LEITE 16X320G,1,ATACADO,1507,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,320G,0,0,3.419259,0,0,0
NESTLE GREGO IOG LT MORANGO 12X360G,1,ATACADO,1508,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,1,0,4.483394,0,0,1
NESTLE IOGURTE MORANGO 12X1.250G,1,ATACADO,1510,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,1.250G,228,0,7.197278,0,0,228
NESTLE IOGURTE VIT DE FRUTA 12X1.250G,1,ATACADO,1512,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,1.250G,146,0,7.197269,0,0,146
CHAMYTO IOGURTE MORANGO 12X360G,1,ATACADO,1513,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,0,0,2.050649,0,0,0
CHAMYTO IOGURTE LIQ MORANGO 12X850G,1,ATACADO,1514,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,4.93598,0,0,0
CHAMYTO GO IOG LIQ MORANGO 24X100G,1,ATACADO,1521,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,100G,0,0,1.468263,0,0,0
NESTLE GREGO FRUTAS VERMELHAS 48X90G,1,ATACADO,1522,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.166857,0,0,0
NESTLE GREGO LIGHT BAUNILHA 12X360G,1,ATACADO,248,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,0,0,4.128691,0,0,0
MOLICO LEITE FERM LIQ MRG 12X850G,1,ATACADO,202,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,6.411934,0,0,0
CHAMYTO IOGURTE LIQ MRG 24X170G,1,ATACADO,1515,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.502881,0,0,0
CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,ATACADO,1520,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,100G,0,0,1.468263,0,0,0
NESTLE GREGO MORANGO 24X90G,1,ATACADO,1652,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.167216,0,0,0
NESTLE GREGO FLOCOS 24X90G,1,ATACADO,1653,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.167192,0,0,0
NESTLE FLAN CARAMELO 8X400G,1,ATACADO,1668,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,400G,0,0,3.5935,0,0,0
NESTLE GREGO TORTA MORANGO 24X90G,1,ATACADO,1958,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.36598,0,0,0
NESTLE GREGO IOG FLOCOS 12X400G,1,ATACADO,1699,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,400G,0,0,4.053831,0,0,0
NESFIT IOGURTE FRUTAS VERMELHAS 20X150G,1,ATACADO,2127,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,150G,0,0,2.572483,0,0,0
NESTLE IOGURTE PEDACOS MORANGO 28X100G,1,ATACADO,1796,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,100G,0,0,1.230028,0,0,0
CHANDELLE CHOCOLATE BRANCO 18X360G,1,ATACADO,1887,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,360G,0,0,4.198462,0,0,0
NESTLE FLAN MORANGO 20X200G,1,ATACADO,2332,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,200G,0,0,1.927731,0,0,0
REQUEIJAO CREMOSO NESTLE 15X200G,1,ATACADO,213,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,PT 200G,0,0,4.064053,0,0,0
NESFIT IOGURTE MORANGO BAUN 24X170G,1,ATACADO,2042,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,40,0,1.931872,0,0,40
NINHO IOGURTE POLPA 6X720G,1,ATACADO,2373,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,720G,0,0,5.452298,0,0,0
NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,ATACADO,1693,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,100H,0,0,1.645591,0,0,0
NESFIT IOGURTE MORANGO BAUN 20X150G,1,ATACADO,2104,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,150G,18,18,2.573377,0,0,18
CHANDELLE CHOCOLATE 6X720G,1,ATACADO,1697,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,720G,0,0,6.382227,0,0,0
CHAMYTO LEITE FERM 21X6X120G,1,ATACADO,1698,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,120G,0,0,5.260568,0,0,0
NESTLE IOGURTE POLPA MORANGO 6X540G,1,ATACADO,1735,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,20732,0,2.869294,18,0,20714
NESTLE IOGURTE POLPA VITAMINA 6X540G,1,ATACADO,1736,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,540G,4834,0,2.869298,0,0,4834
IOGURTE GREGO NESTLE TRADICIONAL 12X400G,1,ATACADO,195,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,12X400G,15,0,4.484274,0,0,15
MOLICO IOGURTE LIQ BAUN 24X170G,1,ATACADO,2455,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.498825,0,0,0
CHAMYTO IOGURTE LIQ PROTEINA 12X850G,1,ATACADO,1885,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,6.968983,0,0,0
CHAMYTO IOGURTE LIQ PROTEINA 24X170G,1,ATACADO,1886,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.876619,0,0,0
NESTLE IOG VIT DE FRUTA 24X170G,1,ATACADO,1505,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.334819,0,0,0
NESTLE GREGO TORTA MARACUJA 24X90G,1,ATACADO,1940,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.365712,0,0,0
NESTLE GREGO TRADICIONAL 24X90G,1,ATACADO,1941,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.36598,0,0,0
CHAMYTO IOGURTE PROTEINA TURBO 24X100G,1,ATACADO,1942,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,100G,0,0,1.379358,0,0,0
MOLICO IOGURTE LIQ MRG 12X850G,1,ATACADO,2099,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,6.250017,0,0,0
MOLICO IOGURTE LIQ MRG 24X170G,1,ATACADO,2100,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.498835,0,0,0
NESFIT IOGURTE FRUTAS VERM 12X850G,1,ATACADO,2037,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,7.31039,0,0,0
NESFIT IOGURTE MORANGO BAUN 12X850G,1,ATACADO,2038,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,0,0,7.31039,0,0,0
NESFIT IOGURTE MARACUJA AVEIA 12X850G,1,ATACADO,2039,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,850G,2,0,7.311825,0,0,2
NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,1,ATACADO,2040,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.931239,0,0,0
NESFIT IOGURTE MARACUJA AVEIA 24X170G,1,ATACADO,2041,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,170G,0,0,1.931431,0,0,0
NESTLE GREGO TORTA LIMAO 24X90G,1,ATACADO,1963,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,39,0,1.36598,0,3,36
NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,ATACADO,1939,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,90G,0,0,1.36598,0,0,0
CHAMBINHO PETIT MRG 64X80G,1,ATACADO,2347,16,DAIRY PARTNERS AMERICAS BRASIL LTDA,64X80G,0,0,0.825112,0,0,0
